rep	condition	wall_s	user_s	sys_s	exit	load_before	load_after	gates_before	stages
1	baseline	101.05	99.82	99.95	0	6.41	5.52	0	
1	branch-reuse-off	20.15	12.55	8.19	1	5.52	6.36	0	
1	branch-cold-store	93.19	91.15	100.96	1	6.36	6.05	0	stage queue-kanban-fast-tests: EXECUTING;stage do-work-cli-fast-tests: EXECUTING;
1	branch-warm-reuse	72.09	77.84	95.45	0	6.05	5.38	0	stage queue-kanban-fast-tests: REUSED;stage do-work-cli-fast-tests: EXECUTING;
2	baseline	96.29	89.93	101.28	0	5.38	5.82	0	
2	branch-reuse-off	20.48	12.86	8.15	1	5.82	5.00	0	
2	branch-cold-store	93.01	91.15	101.88	0	5.00	4.98	0	stage queue-kanban-fast-tests: EXECUTING;stage do-work-cli-fast-tests: EXECUTING;
2	branch-warm-reuse	21.33	13.27	9.24	0	4.98	6.95	0	stage queue-kanban-fast-tests: REUSED;stage do-work-cli-fast-tests: REUSED;
3	baseline	96.19	88.35	96.98	0	6.95	5.24	0	
3	branch-reuse-off	20.23	12.60	8.21	1	5.24	4.90	0	
3	branch-cold-store	93.69	91.29	101.40	0	4.90	4.06	0	stage queue-kanban-fast-tests: EXECUTING;stage do-work-cli-fast-tests: EXECUTING;
3	branch-warm-reuse	21.16	13.29	9.22	0	4.06	4.04	0	stage queue-kanban-fast-tests: REUSED;stage do-work-cli-fast-tests: REUSED;
